Station Name,Latitude,Longitude,EV Level2 EVSE Num
GWV STATION 03,41.257688,-75.807628,2.0
RTS IRONDEQUOIT #2,43.209057,-77.60138,2.0
UNICOPROPERTIES HARLEQUIN 1,39.607415,-104.901598,2.0
YKF STATION 1,43.455215,-80.387007,2.0
111 DUNSMUIR 111 DUNSMUIR,49.280552,-123.111687,2.0
2250 Rue Moreau,45.540739,-73.551936,2.0
EVERGY @MARRIOTT -300A,39.100175,-94.586135,2.0
PARK'N'RIDE JANSS P&R #01,34.199516,-118.85433,2.0
SWAN RESERVE STATION 3,28.3639,-81.561756,2.0
CNTYOFRIVERSIDE CREST MANOR,33.982504,-117.410462,2.0
Quik Park 600 West 42nd Street (Silver Towers) LLC - Tesla Destination,40.761018,-73.99878,3.0
La Jolla Beach & Tennis Club - Tesla Destination,32.853915,-117.258396,4.0
Musée canadien de la nature,45.412459,-75.68985,2.0
CSUSB N- STATION 1,34.184173,-117.322424,2.0
MIRABEL MIRABEL 1,45.703121,-74.092259,1.0
Hampton Inn & Suites Fort Myers-Colonial Blvd. - Tesla Destination,26.599115,-81.844739,1.0
CVC CNTR GARAGE CC 1,33.608968,-117.871975,2.0
FPL EVOLUTION FDOTDIST4&6MAT1,26.120814,-80.339908,2.0
HIGH ASSOCIATES BUILDING 155,40.052,-76.249497,2.0
Courtyard Reno Downtown - Tesla Destination,39.527251,-119.808769,4.0
ASHEBORO CITY CITY HALL SOUTH,35.70664,-79.81583,2.0
Station Roulez Électrique,46.34309,-72.54536,9.0
PAVILION P5-1,39.948261,-75.19199,2.0
Stage Neck Inn - Tesla Destination,43.130686,-70.638748,2.0
PLAZA TOWER L1 SOUTH 05,33.690475,-117.882463,2.0
COVINA EV 135 E BADILLO,34.086414,-117.889063,2.0
SALT RIVER PROJ SRPZOO-L2-#09,33.45165,-111.949637,2.0
303-333 GARAGE 303 N GLENOAKS,34.184308,-118.309086,2.0
BERKSHIRE CROSS STATION 1,36.344604,-119.682594,2.0
TPARK TPARK 1,40.429778,-111.894363,2.0
Palisades,39.19709,-120.23111,4.0
Cabana Encanto - Building B,33.473504,-112.38252,1.0
City of Brampton - Nelson Garage Parking,43.6858333,-79.763295,2.0
Pearcy Auto Sales - Tesla Destination,35.1471408491231,-90.1430905209784,1.0
BOTS EV 7 WEST SIDE,36.298461,-119.210932,1.0
Fox Nissan,42.912537,-85.558232,3.0
HOLY CROSS HOGAN LOT 2,42.238035,-71.807612,2.0
MARTA COLLEGEPARK L25,33.650603,-84.44786,2.0
Marcus Whitman Hotel - Tesla Destination,46.0679132,-118.3408991,3.0
1110-ADOA 1110 SOUTH UNIT,33.448447,-112.086721,2.0
Weakley County Motors,36.369277,-88.849653,1.0
Folktale Winery & Vineyards - Tesla Destination,36.527964,-121.821475,2.0
1410 GARAGE EV #1,37.556411,-122.286858,2.0
PTREE MARKETPLC PCM STATION 2,33.951573,-84.235219,2.0
MA PORTFOLIO 404 NORTH #2,42.410613,-71.256468,2.0
Woss - Englewood Drive,50.212924,-126.595298,1.0
Vons 500 E Manchester Blvd Inglewood	CA,33.9610115,-118.349081,2.0
